,gamma,p
0,0,0.
1,100,1.3877924035079683
2,200,2.7418348937874786
3,300,4.10645914572493
4,400,5.4694377939215375
5,500,6.829474475801744
6,600,8.186478198860456
7,700,9.540453145373005
8,800,10.891398868531532
9,900,12.239307147453902
